,uniform_loss,uniform_acc,RandomNormal_loss,RandomNormal_acc,Ortogonal_loss,Ortogonal_25epoch_acc,Variance_loss,Variance_acc
0,0.6839209658503532,0.5844870209693909,0.6862710262835026,0.5795775055885315,0.7440855023562908,0.5527554750442505,0.7213468225896359,0.5600255131721497
1,0.6692559630870819,0.5880154967308044,0.6648837327659131,0.5983675122261047,0.6756459859609604,0.5894834995269775,0.6488722521364689,0.6290594935417175
2,0.6445885447263717,0.633313000202179,0.6682437779903412,0.5913165211677551,0.661758295506239,0.6048470139503479,0.628586501121521,0.6523590087890625
3,0.6343404161334038,0.6426464915275574,0.6460867915451527,0.6292539834976196,0.6376163527369499,0.643447995185852,0.6049080530703068,0.6747339963912964
4,0.6288502485752105,0.6507704854011536,0.6455487408339977,0.6263260245323181,0.6129703142642975,0.6692175269126892,0.5949383401572704,0.6823790073394775
5,0.6040574742853642,0.6755254864692688,0.6163930690288544,0.6640505194664001,0.5959714782238007,0.6834434866905212,0.5848591071367264,0.69132000207901
6,0.5932402283549308,0.6827074885368347,0.5954232768416404,0.6831675171852112,0.588182132601738,0.6890565156936646,0.5780867602527141,0.6972290277481079
7,0.6062059732377529,0.6717835068702698,0.5925369209349155,0.6844955086708069,0.5807451484203339,0.694087028503418,0.5817830238938332,0.6933760046958923
8,0.5909119523763656,0.6852545142173767,0.5838632560372352,0.6921334862709045,0.6030197070538997,0.671284019947052,0.5777656553983689,0.6987335085868835
9,0.5838166698515416,0.6906110048294067,0.5828162653446197,0.6930825114250183,0.6113898129165173,0.6658650040626526,0.5723267003595829,0.7012789845466614
10,0.5793478244543075,0.6952840089797974,0.5867232870757579,0.6898580193519592,0.5761527873277664,0.6974895000457764,0.567462395966053,0.705253005027771
11,0.5750385868549347,0.6998410224914551,0.573655799806118,0.7005404829978943,0.5693634862303734,0.7019699811935425,0.5664180836081505,0.7055904865264893
12,0.572411921709776,0.7003790140151978,0.5704343577325344,0.7027894854545593,0.5665168841779232,0.7044240236282349,0.5700527875721455,0.7018359899520874
13,0.5702202392518521,0.7026029825210571,0.5692363814413548,0.7035375237464905,0.565707202911377,0.7039164900779724,0.571416498363018,0.7028664946556091
14,0.5748154134452343,0.697737991809845,0.5663556499183178,0.7052130103111267,0.5627150076329708,0.7068895101547241,0.5615479009896517,0.7092310190200806
15,0.5695191561877727,0.7037305235862732,0.5740150802731514,0.698544979095459,0.56389645165205,0.7066569924354553,0.5562616165578366,0.7138435244560242
16,0.5633276286125183,0.7083140015602112,0.6279025190472602,0.6464250087738037,0.5575914758294821,0.7115024924278259,0.5630332144200801,0.707846999168396
17,0.5624042624533176,0.7083449959754944,0.6470740142464638,0.6248660087585449,0.5566760824620723,0.7113800048828125,0.5591377003192901,0.7108774781227112
18,0.5779685056507587,0.6962854862213135,0.6388475068509579,0.6432085037231445,0.5739241578578949,0.6986774802207947,0.5541028103232384,0.7153880000114441
19,0.5616929765641689,0.7092570066452026,0.6345177505016327,0.6446095108985901,0.5587838766872882,0.7104564905166626,0.5519330548048019,0.7169389724731445
20,0.558112645894289,0.7122064828872681,0.5915059186816215,0.6868720054626465,0.5579482390284538,0.7115849852561951,0.5496414422988891,0.7186189889907837
21,0.6085181780457497,0.6717730164527893,0.5865435177981854,0.6883770227432251,0.5530282605290413,0.7155640125274658,0.573651274651289,0.700302004814148
22,0.5719664221405983,0.7028195261955261,0.5680250560939312,0.7030274868011475,0.5641278253793717,0.7071905136108398,0.5603322684466839,0.7113639712333679
23,0.5609921707808971,0.7101100087165833,0.5647545553743839,0.7059705257415771,0.5606936475038529,0.7115085124969482,0.5676085459291935,0.7063980102539062
24,0.5886641340851784,0.6879104971885681,0.5649616342484951,0.7057104706764221,0.5511039935052395,0.7175589799880981,0.5583217001855373,0.7128415107727051
