,model1_tanh_25epoch_loss,model1_tanh_25epoch_acc,model2_tanh_25epoch_loss,model2_tanh_25epoch_acc,model3_tanh_25epoch_loss,model3_tanh_25epoch_acc
0,0.6659938125312328,0.6035205125808716,0.6659938125312328,0.6035205125808716,0.7140564647316933,0.5644969940185547
1,0.6580585872530937,0.6139314770698547,0.6580585872530937,0.6139314770698547,0.6472827546596527,0.6297594904899597
2,0.654645962536335,0.6194980144500732,0.654645962536335,0.6194980144500732,0.6151810422241688,0.6654955148696899
3,0.6527486029863357,0.6205804944038391,0.6527486029863357,0.6205804944038391,0.5936362072825432,0.6844494938850403
4,0.6486669791638852,0.6261069774627686,0.6486669791638852,0.6261069774627686,0.586330403715372,0.6908810138702393
5,0.6465999579727649,0.6310539841651917,0.6465999579727649,0.6310539841651917,0.5828211726844311,0.6940770149230957
6,0.6567096157073975,0.6157169938087463,0.6567096157073975,0.6157169938087463,0.5738114165663719,0.7009835243225098
7,0.653088329911232,0.619638979434967,0.653088329911232,0.619638979434967,0.5717947668135166,0.7020574808120728
8,0.6434503707587719,0.6329870223999023,0.6434503707587719,0.6329870223999023,0.5702752010822296,0.7028794884681702
9,0.6371426767110825,0.6415715217590332,0.6371426767110825,0.6415715217590332,0.5683141213059425,0.7041224837303162
10,0.6350431882143021,0.6429200172424316,0.6350431882143021,0.6429200172424316,0.5616491316258907,0.7097859978675842
11,0.6369294010102748,0.6405764818191528,0.6369294010102748,0.6405764818191528,0.5594787702858448,0.7122660279273987
12,0.6371104740798473,0.6389704942703247,0.6371104740798473,0.6389704942703247,0.5583709064424038,0.7124534845352173
13,0.6204303417205811,0.6601030230522156,0.6204303417205811,0.6601030230522156,0.6008038848042488,0.6800950169563293
14,0.6189771332442761,0.6613814830780029,0.6189771332442761,0.6613814830780029,0.5808770167529583,0.698920488357544
15,0.6087000229656696,0.6726549863815308,0.6087000229656696,0.6726549863815308,0.5626222578585148,0.7102469801902771
16,0.6035512199401856,0.6769729852676392,0.6035512199401856,0.6769729852676392,0.5569961260259152,0.7132419943809509
17,0.6032677302360535,0.6774049997329712,0.6032677302360535,0.6774049997329712,0.5607085031867027,0.7091414928436279
18,0.6066839354038238,0.6731100082397461,0.6066839354038238,0.6731100082397461,0.5632038695216179,0.7097709774971008
19,0.603402644366026,0.6761540174484253,0.603402644366026,0.6761540174484253,0.5530672694891691,0.7167189717292786
20,0.6277186675965786,0.6544774770736694,0.6277186675965786,0.6544774770736694,0.5522817841768265,0.7172955274581909
21,0.6089770605266094,0.6713135242462158,0.6089770605266094,0.6713135242462158,0.5503458958566189,0.7186769843101501
22,0.5976286642849445,0.6818270087242126,0.5976286642849445,0.6818270087242126,0.5524936681389808,0.7165039777755737
23,0.6073056120574475,0.6706784963607788,0.6073056120574475,0.6706784963607788,0.5469660924226045,0.7212265133857727
24,0.6196605933010578,0.6583744883537292,0.6196605933010578,0.6583744883537292,0.5473401504158973,0.7210010290145874
