,model1_relu_25epoch_loss,model1_relu_25epoch_acc,model2_relu_25epoch_loss,model2_relu_25epoch_acc,model3_relu_25epoch_loss,model3_relu_25epoch_acc
0,0.6654735708832741,0.6154804825782776,0.6726932451426982,0.5975474715232849,0.6650577598512173,0.6010580062866211
1,0.624851946145296,0.6532250046730042,0.6089959464073181,0.670666515827179,0.611782490760088,0.6698395013809204
2,0.6135482936799527,0.6667144894599915,0.5909861868321895,0.6875270009040833,0.5997557112574577,0.6837385296821594
3,0.5958447430729866,0.6841199994087219,0.5787797744572163,0.6980475187301636,0.6015075086653232,0.6792914867401123
4,0.6039913185536862,0.6778004765510559,0.5746936857700348,0.7015414834022522,0.5852573196589946,0.6956779956817627
5,0.6169776604473591,0.663907527923584,0.573667808175087,0.7032995223999023,0.5870942160189152,0.6949405074119568
6,0.5945390129387379,0.6874685287475586,0.5627037927806378,0.7110695242881775,0.5842673799991608,0.6988270282745361
7,0.593482278496027,0.6891974806785583,0.5650375389456749,0.7101395130157471,0.590023948609829,0.6933659911155701
8,0.5954118828475475,0.6871389746665955,0.5592614189386368,0.7141004800796509,0.5879569586217404,0.6987885236740112
9,0.6117679913938046,0.6706324815750122,0.5595262932181359,0.7144160270690918,0.5906713083386421,0.6924110054969788
10,0.6026970083117485,0.6786615252494812,0.5720741131901741,0.7063660025596619,0.5894827213585376,0.6939154863357544
11,0.5904272819459438,0.6909769773483276,0.5665180994570256,0.7091929912567139,0.59011741822958,0.6938484907150269
12,0.6003583503365517,0.6812610030174255,0.5637273369133472,0.7117980122566223,0.5826965916454792,0.6999775171279907
13,0.5917411635816098,0.6895260214805603,0.564776052415371,0.7133144736289978,0.5731815721392631,0.7061464786529541
14,0.5891490459144115,0.6907200217247009,0.5567543581426143,0.7175589799880981,0.5733426288366318,0.7065504789352417
15,0.6069514572024345,0.6739634871482849,0.5680615618824959,0.7083600163459778,0.573206755399704,0.7069154977798462
16,0.5988751750886441,0.6798074841499329,0.5549715255498886,0.7187119722366333,0.5704005549252034,0.708813488483429
17,0.5987730618715287,0.6837120056152344,0.5507517430186272,0.7211830019950867,0.5670545864403248,0.7113245129585266
18,0.5834748149216175,0.6957384943962097,0.554209765508771,0.7187780141830444,0.5661061181128025,0.7136290073394775
19,0.599218225479126,0.6817740201950073,0.5553914747536183,0.7176654934883118,0.5726536331474781,0.7063944935798645
20,0.6147400364875794,0.6712694764137268,0.557790514677763,0.7162694931030273,0.5648871528804302,0.7135840058326721
21,0.6009466427862644,0.6823455095291138,0.5492609948217869,0.7225924730300903,0.5618453897833824,0.7152829766273499
22,0.6265379173457623,0.6561130285263062,0.5501184451729059,0.7233189940452576,0.5642628355622291,0.7149655222892761
23,0.602440286397934,0.6792945265769958,0.5593517085015773,0.7155135273933411,0.5614541919827462,0.7168384790420532
24,0.6084473911225796,0.6735699772834778,0.5624908003211021,0.7143399715423584,0.5617917547821999,0.7171415090560913
