,adam_loss,adam_acc,RMSprop_loss,RMSprop_acc,sgd_loss,sgd_acc,adadelta_loss,adadelta_acc
0,0.7016514524817467,0.5728219747543335,0.6738629261255265,0.6114915013313293,0.7190433492660523,0.521296501159668,0.6972000925838947,0.5875040292739868
1,0.6457368472516537,0.6314830183982849,0.610980489730835,0.6678810119628906,0.6872813218832016,0.5442715287208557,0.6367742631733417,0.6440380215644836
2,0.6156255909502506,0.6642935276031494,0.5974750758707523,0.679311990737915,0.6767652246654033,0.5718954801559448,0.609329682469368,0.6710085272789001
3,0.5972028980255127,0.6801440119743347,0.5866645521223545,0.6893454790115356,0.6651703786849975,0.5948665142059326,0.596848148137331,0.6803495287895203
4,0.5899874415695667,0.6865140199661255,0.5800456377863884,0.6954180002212524,0.6583149888515473,0.6071730256080627,0.591375968247652,0.6850695013999939
5,0.5984356896281242,0.6796320080757141,0.5751158380210399,0.6998069882392883,0.6536870931982994,0.6145740151405334,0.5868797632157803,0.6893014907836914
6,0.58561122828722,0.6903510093688965,0.5705658564865589,0.7035325169563293,0.6504498220682144,0.620140016078949,0.5834392107129097,0.6928104758262634
7,0.5794368400275707,0.6956779956817627,0.5668230756223201,0.7063584923744202,0.6477167832255364,0.6242895126342773,0.5799038257598877,0.6960355043411255
8,0.5738083291351795,0.7004954814910889,0.5633170788586139,0.7088649868965149,0.645683963149786,0.6271114945411682,0.5758937316834927,0.6987255215644836
9,0.5685755398869514,0.704039990901947,0.5607577413916588,0.7110819816589355,0.6432808511853219,0.6308019757270813,0.5733866879343986,0.7010334730148315
10,0.5724756247997284,0.6993514895439148,0.5581921961009503,0.7125930190086365,0.6416592149436474,0.6331149935722351,0.5702318884730339,0.7036334872245789
11,0.5898818068206311,0.6869205236434937,0.5562199568152427,0.7143759727478027,0.6396027513146401,0.6365439891815186,0.5681057681441307,0.7050179839134216
12,0.5706360387504101,0.7018340229988098,0.5541840378940105,0.7158684730529785,0.7234791930913925,0.5933284759521484,0.565827111274004,0.7066555023193359
13,0.5633259820342064,0.707998514175415,0.5525035346150399,0.7179549932479858,0.6923460294902325,0.5250660181045532,0.5639118808507919,0.7078275084495544
14,0.5608340783119201,0.709620475769043,0.5510099837481975,0.7188220024108887,0.6905553929805756,0.5308780074119568,0.562035205334425,0.7093685269355774
15,0.5608468689620495,0.7096199989318848,0.5488829610943794,0.7208560109138489,0.6883926542997361,0.540059506893158,0.5610469708442688,0.7103300094604492
16,0.5855747129619121,0.6878175139427185,0.5469302951097489,0.7219204902648926,0.6811460826694965,0.5627390146255493,0.5596199304163456,0.7114484906196594
17,0.5898890348374843,0.6895260214805603,0.5458588514775038,0.7229865193367004,0.6664163446128368,0.5943689942359924,0.5584653759896755,0.7121725082397461
18,0.584066072255373,0.6918784976005554,0.5449032142162323,0.7233744859695435,0.6588378788232804,0.6092919707298279,0.5571283776164054,0.7130445241928101
19,0.5669175707101822,0.7045750021934509,0.5437082045823336,0.7246459722518921,0.6494455276727676,0.6233090162277222,0.5564743252098561,0.7140954732894897
20,0.5575204535126687,0.713280975818634,0.5430223163366318,0.7253360152244568,0.6452634034454823,0.6294029951095581,0.5550041541457176,0.7147729992866516
21,0.55521407777071,0.7139549851417542,0.5421092337220907,0.7258520126342773,0.6426257840394973,0.6332499980926514,0.5537953836917877,0.715996503829956
22,0.5565775579810143,0.7139605283737183,0.5412659395635128,0.726544976234436,0.6400761976540089,0.6369674801826477,0.5525258123874665,0.716574490070343
23,0.552891000032425,0.7160264849662781,0.540671676248312,0.7272440195083618,0.6379384706020356,0.640094518661499,0.5520072993636131,0.7171595096588135
24,0.5557152689695358,0.7140784859657288,0.539804819971323,0.7278785109519958,0.6361758249104023,0.6427549719810486,0.5509405597150325,0.7178995013237
