,model1_sigmoid_25epoch_loss,model1_sigmoid_25epoch_acc,model2_sigmoid_25epoch_loss,model2_sigmoid_25epoch_acc,model3_sigmoid_25epoch_loss,model3_sigmoid_25epoch_acc
0,0.6557975294291973,0.6024209856987,0.6549409785568714,0.6037715077400208,0.6939395457804203,0.5247514843940735
1,0.6312084886729717,0.6372969746589661,0.6190739219784737,0.6559435129165649,0.6914534805417061,0.5296249985694885
2,0.6171072291433811,0.6560794711112976,0.6045752592086792,0.6724159717559814,0.6914113412499427,0.5296245217323303
3,0.6064760028421878,0.6675124764442444,0.5968268496692181,0.6798279881477356,0.6634567443430424,0.586205005645752
4,0.5987808077931404,0.6758304834365845,0.591216806679964,0.6844365000724792,0.6177013399004936,0.6582484841346741
5,0.5943029979169369,0.6802434921264648,0.5871792814135551,0.6869739890098572,0.6027905147671699,0.6752204895019531
6,0.5912309313416481,0.6826274991035461,0.5842383287549019,0.6892009973526001,0.5940654308497906,0.6826220154762268
7,0.5888844232857228,0.6849510073661804,0.5814736940860749,0.6912299990653992,0.588466459184885,0.6864395141601562
8,0.5866557118296624,0.6867085099220276,0.5790599502623082,0.693231999874115,0.5843778041899205,0.6896139979362488
9,0.5842794918417931,0.6887475252151489,0.5769011284708977,0.6951329708099365,0.5810243934988976,0.6927285194396973
10,0.5817672798037529,0.6909289956092834,0.5746145042777061,0.6968395113945007,0.5781433282792569,0.6947274804115295
11,0.5793213511705398,0.6930505037307739,0.57257893294096,0.6986464858055115,0.575441670447588,0.6967859864234924
12,0.5769865970909596,0.694691002368927,0.5705454097390175,0.7004925012588501,0.5731844454705716,0.6990010142326355
13,0.5748528018593788,0.6965295076370239,0.5684339135587215,0.7021170258522034,0.5709110537469387,0.7011409997940063
14,0.5729608999490738,0.6982154846191406,0.5665463573336601,0.703858494758606,0.568545371890068,0.7030410170555115
15,0.5712711551487446,0.6994144916534424,0.5645581063628197,0.7054259777069092,0.5667687646746635,0.7045220136642456
16,0.5698323648571968,0.7005224823951721,0.5625899988114834,0.706996500492096,0.5647243948280811,0.7060379981994629
17,0.5686421286165714,0.701574981212616,0.5605620190799236,0.7086589932441711,0.5630684166550636,0.7076290249824524
18,0.5674155728816986,0.7025460004806519,0.5589199599325657,0.7099955081939697,0.5614008067250251,0.708813488483429
19,0.5662223172783851,0.7034059762954712,0.5574854944348335,0.7109910249710083,0.5598199878633022,0.7100315093994141
20,0.5652552466988564,0.7043744921684265,0.5562048060297966,0.711990475654602,0.5583372479379177,0.7111390233039856
21,0.5643577173352241,0.7051255106925964,0.5546821683347225,0.712927520275116,0.5568600838780403,0.7122244834899902
22,0.5633805289566517,0.7059934735298157,0.5536498554050923,0.7135810256004333,0.5554500041604042,0.7130969762802124
23,0.5623850754201413,0.7065424919128418,0.5523967914581299,0.7146285176277161,0.5540515950918198,0.7143344879150391
24,0.5615193570554257,0.707268476486206,0.5512145498394966,0.7152695059776306,0.5530692281723022,0.7147294878959656
